HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/9/21,,
TIME,16:29:42,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.113,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5.00000E+03,2.14800E-02,8.22000E-03
2,3.40650E+03,2.11700E-02,4.96000E-03
3,2.32080E+03,2.11500E-02,2.48000E-03
4,1.58110E+03,2.15300E-02,5.10000E-04
5,1.07720E+03,2.21000E-02,-1.00000E-03
6,7.33900E+02,2.29100E-02,-2.23000E-03
7,5.00000E+02,2.38300E-02,-3.25000E-03
8,3.40650E+02,2.49300E-02,-4.24000E-03
9,2.32080E+02,2.62300E-02,-5.11000E-03
10,1.58110E+02,2.77900E-02,-5.76000E-03
11,1.07720E+02,2.92000E-02,-6.26000E-03
12,7.33900E+01,3.09100E-02,-6.62000E-03
13,5.00000E+01,3.28300E-02,-6.88000E-03
14,3.40650E+01,3.43000E-02,-7.15000E-03
15,2.32080E+01,3.62300E-02,-7.33000E-03
16,1.58110E+01,3.73300E-02,-7.85000E-03
17,1.07720E+01,3.86400E-02,-8.27000E-03
18,7.33900E+00,4.02200E-02,-9.47000E-03
19,5.00000E+00,4.19400E-02,-1.09700E-02
20,3.40600E+00,4.45000E-02,-1.31900E-02
21,2.32100E+00,4.75300E-02,-1.59700E-02
22,1.58100E+00,5.23200E-02,-1.93000E-02
23,1.07700E+00,5.87300E-02,-2.09000E-02
24,7.34000E-01,6.62000E-02,-2.14500E-02
25,5.00000E-01,7.31000E-02,-1.89300E-02
26,3.41000E-01,7.80600E-02,-1.70900E-02
27,2.32000E-01,8.22700E-02,-1.41800E-02
28,1.58000E-01,8.46300E-02,-1.14500E-02
29,1.08000E-01,8.59800E-02,-1.02600E-02
30,7.30000E-02,8.81800E-02,-9.65000E-03
31,5.00000E-02,8.92000E-02,-1.00100E-02
