HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077,,
,,,,,
DATE,2021/9/17,,,,
TIME,15:49:13,,,,
,,,,,
SOURCE,FREQ,,,,
TRIG,SEQ,,,,
DRAW,REAL,,,,
TRIG DELAY,0,s,,,
SEGMENT,OFF,,,,
CC,5,mA,,,
BATTERY,ON,,,,
RANGE,AUTO,,,,
SPEED,---,,,,
AVG,2,,,,
POINT DELAY,0,s,,,
,,,,,
BATT,4.083,V,,,
No.,FREQUENCY[Hz],RS[ohm],X[ohm],,
1,5000.00000 ,0.02080 ,0.00942 ,2.08E-02,-9.42E-03
2,3410.00000 ,0.02040 ,0.00601 ,2.04E-02,-6.01E-03
3,2320.00000 ,0.02030 ,0.00354 ,2.03E-02,-3.54E-03
4,1580.00000 ,0.02050 ,0.00165 ,2.05E-02,-1.65E-03
5,1080.00000 ,0.02090 ,0.00029 ,2.09E-02,-2.90E-04
6,734.00000 ,0.02140 ,-0.00077 ,2.14E-02,7.70E-04
7,500.00000 ,0.02210 ,-0.00151 ,2.21E-02,1.51E-03
8,341.00000 ,0.02280 ,-0.00217 ,2.28E-02,2.17E-03
9,232.00000 ,0.02360 ,-0.00259 ,2.36E-02,2.59E-03
10,158.00000 ,0.02420 ,-0.00284 ,2.42E-02,2.84E-03
11,108.00000 ,0.02510 ,-0.00305 ,2.51E-02,3.05E-03
12,73.40000 ,0.02570 ,-0.00324 ,2.57E-02,3.24E-03
13,50.00000 ,0.02690 ,-0.00302 ,2.69E-02,3.02E-03
14,34.10000 ,0.02760 ,-0.00332 ,2.76E-02,3.32E-03
15,23.20000 ,0.02820 ,-0.00360 ,2.82E-02,3.60E-03
16,15.80000 ,0.02930 ,-0.00354 ,2.93E-02,3.54E-03
17,10.80000 ,0.03010 ,-0.00370 ,3.01E-02,3.70E-03
18,7.34000 ,0.03120 ,-0.00394 ,3.12E-02,3.94E-03
19,5.00000 ,0.03220 ,-0.00365 ,3.22E-02,3.65E-03
20,3.41000 ,0.03300 ,-0.00324 ,3.30E-02,3.24E-03
21,2.32000 ,0.03380 ,-0.00274 ,3.38E-02,2.74E-03
22,1.58000 ,0.03450 ,-0.00249 ,3.45E-02,2.49E-03
23,1.08000 ,0.03470 ,-0.00214 ,3.47E-02,2.14E-03
24,0.73400 ,0.03530 ,-0.00188 ,3.53E-02,1.88E-03
25,0.50000 ,0.03570 ,-0.00182 ,3.57E-02,1.82E-03
26,0.34100 ,0.03540 ,-0.00177 ,3.54E-02,1.77E-03
27,0.23200 ,0.03610 ,-0.00188 ,3.61E-02,1.88E-03
28,0.15800 ,0.03680 ,-0.00189 ,3.68E-02,1.89E-03
29,0.10800 ,0.03790 ,-0.00325 ,3.79E-02,3.25E-03
30,0.07300 ,0.03770 ,-0.00346 ,3.77E-02,3.46E-03
31,0.05000 ,0.03840 ,-0.00453 ,3.84E-02,4.53E-03
