HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/10/20,,
TIME,12:06:04,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,3.927,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02075 ,0.00945 
2,3406.50000 ,0.02035 ,0.00612 
3,2320.80000 ,0.02017 ,0.00366 
4,1581.10000 ,0.02040 ,0.00179 
5,1077.20000 ,0.02072 ,0.00042 
6,733.90000 ,0.02125 ,-0.00055 
7,500.00000 ,0.02184 ,-0.00133 
8,340.65000 ,0.02241 ,-0.00194 
9,232.08000 ,0.02329 ,-0.00236 
10,158.11000 ,0.02411 ,-0.00267 
11,107.72000 ,0.02478 ,-0.00304 
12,73.39000 ,0.02561 ,-0.00316 
13,50.00000 ,0.02656 ,-0.00327 
14,34.06500 ,0.02754 ,-0.00323 
15,23.20800 ,0.02818 ,-0.00338 
16,15.81100 ,0.02893 ,-0.00340 
17,10.77200 ,0.02992 ,-0.00343 
18,7.33900 ,0.03086 ,-0.00305 
19,5.00000 ,0.03155 ,-0.00291 
20,3.40600 ,0.03197 ,-0.00255 
21,2.32100 ,0.03263 ,-0.00219 
22,1.58100 ,0.03314 ,-0.00182 
23,1.07700 ,0.03322 ,-0.00176 
24,0.73400 ,0.03370 ,-0.00155 
25,0.50000 ,0.03397 ,-0.00182 
26,0.34100 ,0.03417 ,-0.00180 
27,0.23200 ,0.03450 ,-0.00242 
28,0.15800 ,0.03502 ,-0.00219 
29,0.10800 ,0.03533 ,-0.00320 
30,0.07300 ,0.03609 ,-0.00341 
31,0.05000 ,0.03692 ,-0.00421 
