HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077,,
,,,,,
DATE,2021/9/14,,,,
TIME,16:05:38,,,,
,,,,,
SOURCE,FREQ,,,,
TRIG,SEQ,,,,
DRAW,REAL,,,,
TRIG DELAY,0,s,,,
SEGMENT,OFF,,,,
CC,5,mA,,,
BATTERY,ON,,,,
RANGE,AUTO,,,,
SPEED,---,,,,
AVG,2,,,,
POINT DELAY,0,s,,,
,,,,,
BATT,4.112,V,,,
No.,FREQUENCY[Hz],RS[ohm],X[ohm],”½“]Rs,X
1,5000.00000 ,0.02110 ,0.00953 ,2.11E-02,-9.53E-03
2,3410.00000 ,0.02070 ,0.00624 ,2.07E-02,-6.24E-03
3,2320.00000 ,0.02050 ,0.00376 ,2.05E-02,-3.76E-03
4,1580.00000 ,0.02070 ,0.00200 ,2.07E-02,-2.00E-03
5,1080.00000 ,0.02090 ,0.00069 ,2.09E-02,-6.90E-04
6,734.00000 ,0.02140 ,-0.00031 ,2.14E-02,3.10E-04
7,500.00000 ,0.02180 ,-0.00097 ,2.18E-02,9.70E-04
8,341.00000 ,0.02240 ,-0.00147 ,2.24E-02,1.47E-03
9,232.00000 ,0.02270 ,-0.00194 ,2.27E-02,1.94E-03
10,158.00000 ,0.02350 ,-0.00199 ,2.35E-02,1.99E-03
11,108.00000 ,0.02420 ,-0.00225 ,2.42E-02,2.25E-03
12,73.40000 ,0.02520 ,-0.00261 ,2.52E-02,2.61E-03
13,50.00000 ,0.02560 ,-0.00271 ,2.56E-02,2.71E-03
14,34.10000 ,0.02620 ,-0.00273 ,2.62E-02,2.73E-03
15,23.20000 ,0.02690 ,-0.00295 ,2.69E-02,2.95E-03
16,15.80000 ,0.02720 ,-0.00335 ,2.72E-02,3.35E-03
17,10.80000 ,0.02810 ,-0.00369 ,2.81E-02,3.69E-03
18,7.34000 ,0.02910 ,-0.00419 ,2.91E-02,4.19E-03
19,5.00000 ,0.03050 ,-0.00428 ,3.05E-02,4.28E-03
20,3.41000 ,0.03190 ,-0.00418 ,3.19E-02,4.18E-03
21,2.32000 ,0.03310 ,-0.00425 ,3.31E-02,4.25E-03
22,1.58000 ,0.03400 ,-0.00293 ,3.40E-02,2.93E-03
23,1.08000 ,0.03460 ,-0.00267 ,3.46E-02,2.67E-03
24,0.73400 ,0.03500 ,-0.00242 ,3.50E-02,2.42E-03
25,0.50000 ,0.03540 ,-0.00195 ,3.54E-02,1.95E-03
26,0.34100 ,0.03580 ,-0.00220 ,3.58E-02,2.20E-03
27,0.23200 ,0.03610 ,-0.00164 ,3.61E-02,1.64E-03
28,0.15800 ,0.03640 ,-0.00227 ,3.64E-02,2.27E-03
29,0.10800 ,0.03640 ,-0.00215 ,3.64E-02,2.15E-03
30,0.07300 ,0.03700 ,-0.00169 ,3.70E-02,1.69E-03
31,0.05000 ,0.03810 ,-0.00314 ,3.81E-02,3.14E-03
