HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/9/22,,
TIME,15:26:38,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.108,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02092 ,0.00936 
2,3406.50000 ,0.02041 ,0.00612 
3,2320.80000 ,0.02032 ,0.00372 
4,1581.10000 ,0.02037 ,0.00195 
5,1077.20000 ,0.02068 ,0.00062 
6,733.90000 ,0.02109 ,-0.00031 
7,500.00000 ,0.02158 ,-0.00105 
8,340.65000 ,0.02207 ,-0.00151 
9,232.08000 ,0.02271 ,-0.00181 
10,158.11000 ,0.02317 ,-0.00230 
11,107.72000 ,0.02395 ,-0.00246 
12,73.39000 ,0.02474 ,-0.00257 
13,50.00000 ,0.02538 ,-0.00291 
14,34.06500 ,0.02588 ,-0.00314 
15,23.20800 ,0.02663 ,-0.00309 
16,15.81100 ,0.02728 ,-0.00341 
17,10.77200 ,0.02791 ,-0.00404 
18,7.33900 ,0.02901 ,-0.00466 
19,5.00000 ,0.03023 ,-0.00494 
20,3.40600 ,0.03199 ,-0.00519 
21,2.32100 ,0.03351 ,-0.00497 
22,1.58100 ,0.03491 ,-0.00400 
23,1.07700 ,0.03583 ,-0.00378 
24,0.73400 ,0.03666 ,-0.00280 
25,0.50000 ,0.03692 ,-0.00279 
26,0.34100 ,0.03732 ,-0.00185 
27,0.23200 ,0.03690 ,-0.00270 
28,0.15800 ,0.03755 ,-0.00286 
29,0.10800 ,0.03860 ,-0.00299 
30,0.07300 ,0.03869 ,-0.00403 
31,0.05000 ,0.03980 ,-0.00441 
