	A		B		C		D		
Freq	Re	Im	Re	Im	Re	Im	Re	Im	
5000.00000	0.02342	0.00643	0.02233	0.00732	0.02272	0.00759	0.02275	0.00571	
3406.50000	0.02314	0.00353	0.02216	0.00396	0.02245	0.00426	0.02244	0.00310	
2320.80000	0.02318	0.00108	0.02229	0.00124	0.02257	0.00153	0.02255	0.00094	
1581.10000	0.02367	-0.00074	0.02289	-0.00093	0.02306	-0.00052	0.02296	-0.00081	
1077.20000	0.02445	-0.00239	0.02372	-0.00277	0.02382	-0.00233	0.02365	-0.00234	
733.90000	0.02541	-0.00383	0.02492	-0.00440	0.02489	-0.00397	0.02463	-0.00370	
500.00000	0.02673	-0.00514	0.02625	-0.00597	0.02617	-0.00541	0.02580	-0.00489	
340.65000	0.02814	-0.00646	0.02801	-0.00757	0.02778	-0.00674	0.02712	-0.00616	
232.08000	0.02972	-0.00752	0.03005	-0.00877	0.02953	-0.00829	0.02877	-0.00736	
158.11000	0.03186	-0.00880	0.03242	-0.01041	0.03161	-0.00936	0.03085	-0.00840	
107.72000	0.03422	-0.01011	0.03470	-0.01231	0.03456	-0.01076	0.03263	-0.00955	
73.39000	0.03679	-0.01140	0.03837	-0.01392	0.03692	-0.01236	0.03544	-0.01120	
50.00000	0.03988	-0.01252	0.04169	-0.01610	0.04043	-0.01392	0.03829	-0.01214	
34.06500	0.04342	-0.01387	0.04533	-0.01773	0.04378	-0.01536	0.04154	-0.01338	
23.20800	0.04650	-0.01504	0.04982	-0.01978	0.04761	-0.01673	0.04501	-0.01482	
15.81100	0.04993	-0.01611	0.05503	-0.02218	0.05179	-0.01802	0.04844	-0.01612	
10.77200	0.05375	-0.01716	0.06060	-0.02447	0.05604	-0.01942	0.05241	-0.01689	
7.33900	0.05746	-0.01850	0.06562	-0.02647	0.06030	-0.02121	0.05597	-0.01800	
5.00000	0.06139	-0.02071	0.07181	-0.02890	0.06519	-0.02337	0.06006	-0.01960	
3.40600	0.06518	-0.02377	0.07746	-0.03156	0.06937	-0.02668	0.06527	-0.02213	
2.32100	0.07025	-0.02755	0.08343	-0.03624	0.07427	-0.03111	0.07104	-0.02432	
1.58100	0.07500	-0.03375	0.09024	-0.04219	0.07992	-0.03737	0.07839	-0.02672	
1.07700	0.08156	-0.04265	0.09825	-0.05094	0.08716	-0.04606	0.08700	-0.02815	
0.73400	0.09217	-0.05351	0.10928	-0.06291	0.09721	-0.05891	0.09666	-0.02813	
0.50000	0.10732	-0.06728	0.12455	-0.07722	0.11190	-0.07333	0.10605	-0.02606	
0.34100	0.12971	-0.08045	0.14776	-0.09153	0.13406	-0.08832	0.11348	-0.02256	
0.23200	0.15855	-0.08807	0.17931	-0.10262	0.16398	-0.09891	0.11895	-0.01858	
0.15800	0.18915	-0.08787	0.21598	-0.10353	0.19815	-0.09982	0.12324	-0.01514	
0.10800	0.21659	-0.07913	0.24908	-0.09599	0.22934	-0.09180	0.12667	-0.01296	
0.07300	0.23623	-0.06590	0.27602	-0.08062	0.25542	-0.07788	0.12978	-0.01163	
0.05000	0.25027	-0.05347	0.29289	-0.06468	0.27169	-0.06408	0.13213	-0.01182	
